,common_use,usps_abbr
0,ALLEE,ALY
1,ALLEY,ALY
2,ALLY,ALY
3,ALY,ALY
4,ANEX,ANX
5,ANNEX,ANX
6,ANNX,ANX
7,ANX,ANX
8,ARC,ARC
9,ARCADE,ARC
10,AV,AVE
11,AVE,AVE
12,AVEN,AVE
13,AVENU,AVE
14,AVENUE,AVE
15,AVN,AVE
16,AVNUE,AVE
17,BAYOO,BYU
18,BAYOU,BYU
19,BCH,BCH
20,BEACH,BCH
21,BEND,BND
22,BND,BND
23,BLF,BLF
24,BLUF,BLF
25,BLUFF,BLF
26,BLUFFS,BLFS
27,BOT,BTM
28,BTM,BTM
29,BOTTM,BTM
30,BOTTOM,BTM
31,BLVD,BLVD
32,BOUL,BLVD
33,BOULEVARD,BLVD
34,BOULV,BLVD
35,BR,BR
36,BRNCH,BR
37,BRANCH,BR
38,BRDGE,BRG
39,BRG,BRG
40,BRIDGE,BRG
41,BRK,BRK
42,BROOK,BRK
43,BROOKS,BRKS
44,BURG,BG
45,BURGS,BGS
46,BYP,BYP
47,BYPA,BYP
48,BYPAS,BYP
49,BYPASS,BYP
50,BYPS,BYP
51,CAMP,CP
52,CP,CP
53,CMP,CP
54,CANYN,CYN
55,CANYON,CYN
56,CNYN,CYN
57,CAPE,CPE
58,CPE,CPE
59,CAUSEWAY,CSWY
60,CAUSWA,CSWY
61,CSWY,CSWY
62,CEN,CTR
63,CENT,CTR
64,CENTER,CTR
65,CENTR,CTR
66,CENTRE,CTR
67,CNTER,CTR
68,CNTR,CTR
69,CTR,CTR
70,CENTERS,CTRS
71,CIR,CIR
72,CIRC,CIR
73,CIRCL,CIR
74,CIRCLE,CIR
75,CRCL,CIR
76,CRCLE,CIR
77,CIRCLES,CIRS
78,CLF,CLF
79,CLIFF,CLF
80,CLFS,CLFS
81,CLIFFS,CLFS
82,CLB,CLB
83,CLUB,CLB
84,COMMON,CMN
85,COMMONS,CMNS
86,COR,COR
87,CORNER,COR
88,CORNERS,CORS
89,CORS,CORS
90,COURSE,CRSE
91,CRSE,CRSE
92,COURT,CT
93,CT,CT
94,COURTS,CTS
95,CTS,CTS
96,COVE,CV
97,CV,CV
98,COVES,CVS
99,CREEK,CRK
100,CRK,CRK
101,CRESCENT,CRES
102,CRES,CRES
103,CRSENT,CRES
104,CRSNT,CRES
105,CREST,CRST
106,CROSSING,XING
107,CRSSNG,XING
108,XING,XING
109,CROSSROAD,XRD
110,CROSSROADS,XRDS
111,CURVE,CURV
112,DALE,DL
113,DL,DL
114,DAM,DM
115,DM,DM
116,DIV,DV
117,DIVIDE,DV
118,DV,DV
119,DVD,DV
120,DR,DR
121,DRIV,DR
122,DRIVE,DR
123,DRV,DR
124,DRIVES,DRS
125,EST,EST
126,ESTATE,EST
127,ESTATES,ESTS
128,ESTS,ESTS
129,EXP,EXPY
130,EXPR,EXPY
131,EXPRESS,EXPY
132,EXPRESSWAY,EXPY
133,EXPW,EXPY
134,EXPY,EXPY
135,EXT,EXT
136,EXTENSION,EXT
137,EXTN,EXT
138,EXTNSN,EXT
139,EXTS,EXTS
140,FALLS,FLS
141,FLS,FLS
142,FERRY,FRY
143,FRRY,FRY
144,FRY,FRY
145,FIELD,FLD
146,FLD,FLD
147,FIELDS,FLDS
148,FLDS,FLDS
149,FLAT,FLT
150,FLT,FLT
151,FLATS,FLTS
152,FLTS,FLTS
153,FORD,FRD
154,FRD,FRD
155,FORDS,FRDS
156,FOREST,FRST
157,FORESTS,FRST
158,FRST,FRST
159,FORG,FRG
160,FORGE,FRG
161,FRG,FRG
162,FORGES,FRGS
163,FORK,FRK
164,FRK,FRK
165,FORKS,FRKS
166,FRKS,FRKS
167,FORT,FT
168,FRT,FT
169,FT,FT
170,FREEWAY,FWY
171,FREEWY,FWY
172,FRWAY,FWY
173,FRWY,FWY
174,FWY,FWY
175,GARDEN,GDN
176,GARDN,GDN
177,GRDEN,GDN
178,GRDN,GDN
179,GARDENS,GDNS
180,GDNS,GDNS
181,GRDNS,GDNS
182,GATEWAY,GTWY
183,GATEWY,GTWY
184,GATWAY,GTWY
185,GTWAY,GTWY
186,GTWY,GTWY
187,GLEN,GLN
188,GLN,GLN
189,GLENS,GLNS
190,GREEN,GRN
191,GRN,GRN
192,GREENS,GRNS
193,GROV,GRV
194,GROVE,GRV
195,GRV,GRV
196,GROVES,GRVS
197,HARB,HBR
198,HARBOR,HBR
199,HARBR,HBR
200,HBR,HBR
201,HRBOR,HBR
202,HARBORS,HBRS
203,HAVEN,HVN
204,HVN,HVN
205,HT,HTS
206,HTS,HTS
207,HIGHWAY,HWY
208,HIGHWY,HWY
209,HIWAY,HWY
210,HIWY,HWY
211,HWAY,HWY
212,HWY,HWY
213,HILL,HL
214,HL,HL
215,HILLS,HLS
216,HLS,HLS
217,HLLW,HOLW
218,HOLLOW,HOLW
219,HOLLOWS,HOLW
220,HOLW,HOLW
221,HOLWS,HOLW
222,INLT,INLT
223,IS,IS
224,ISLAND,IS
225,ISLND,IS
226,ISLANDS,ISS
227,ISLNDS,ISS
228,ISS,ISS
229,ISLES,ISLE
230,JCT,JCT
231,JCTION,JCT
232,JCTN,JCT
233,JUNCTION,JCT
234,JUNCTN,JCT
235,JUNCTON,JCT
236,JCTNS,JCTS
237,JCTS,JCTS
238,JUNCTIONS,JCTS
239,KEY,KY
240,KY,KY
241,KEYS,KYS
242,KYS,KYS
243,KNL,KNL
244,KNOL,KNL
245,KNOLL,KNL
246,KNLS,KNLS
247,KNOLLS,KNLS
248,LK,LK
249,LAKE,LK
250,LKS,LKS
251,LAKES,LKS
252,LANDING,LNDG
253,LNDG,LNDG
254,LNDNG,LNDG
255,LANE,LN
256,LN,LN
257,LGT,LGT
258,LIGHT,LGT
259,LIGHTS,LGTS
260,LF,LF
261,LOAF,LF
262,LCK,LCK
263,LOCK,LCK
264,LCKS,LCKS
265,LOCKS,LCKS
266,LDG,LDG
267,LDGE,LDG
268,LODG,LDG
269,LODGE,LDG
270,LOOPS,LOOP
271,MNR,MNR
272,MANOR,MNR
273,MANORS,MNRS
274,MNRS,MNRS
275,MEADOW,MDW
276,MDW,MDWS
277,MDWS,MDWS
278,MEADOWS,MDWS
279,MEDOWS,MDWS
280,MILL,ML
281,MILLS,MLS
282,MISSN,MSN
283,MSSN,MSN
284,MOTORWAY,MTWY
285,MNT,MT
286,MT,MT
287,MOUNT,MT
288,MNTAIN,MTN
289,MNTN,MTN
290,MOUNTAIN,MTN
291,MOUNTIN,MTN
292,MTIN,MTN
293,MTN,MTN
294,MNTNS,MTNS
295,MOUNTAINS,MTNS
296,NCK,NCK
297,NECK,NCK
298,ORCH,ORCH
299,ORCHARD,ORCH
300,ORCHRD,ORCH
301,OVL,OVAL
302,OVERPASS,OPAS
303,PRK,PARK
304,PARKS,PARK
305,PARKWAY,PKWY
306,PARKWY,PKWY
307,PKWAY,PKWY
308,PKWY,PKWY
309,PKY,PKWY
310,PARKWAYS,PKWY
311,PKWYS,PKWY
312,PASSAGE,PSGE
313,PATHS,PATH
314,PIKES,PIKE
315,PINE,PNE
316,PINES,PNES
317,PNES,PNES
318,PL,PL
319,PLAIN,PLN
320,PLN,PLN
321,PLAINS,PLNS
322,PLNS,PLNS
323,PLAZA,PLZ
324,PLZ,PLZ
325,PLZA,PLZ
326,POINT,PT
327,PT,PT
328,POINTS,PTS
329,PTS,PTS
330,PORT,PRT
331,PRT,PRT
332,PORTS,PRTS
333,PRTS,PRTS
334,PR,PR
335,PRAIRIE,PR
336,PRR,PR
337,RAD,RADL
338,RADIAL,RADL
339,RADIEL,RADL
340,RADL,RADL
341,RANCH,RNCH
342,RANCHES,RNCH
343,RNCH,RNCH
344,RNCHS,RNCH
345,RAPID,RPD
346,RPD,RPD
347,RAPIDS,RPDS
348,RPDS,RPDS
349,REST,RST
350,RST,RST
351,RDG,RDG
352,RDGE,RDG
353,RIDGE,RDG
354,RDGS,RDGS
355,RIDGES,RDGS
356,RIV,RIV
357,RIVER,RIV
358,RVR,RIV
359,RIVR,RIV
360,RD,RD
361,ROAD,RD
362,ROADS,RDS
363,RDS,RDS
364,ROUTE,RTE
365,SHL,SHL
366,SHOAL,SHL
367,SHLS,SHLS
368,SHOALS,SHLS
369,SHOAR,SHR
370,SHORE,SHR
371,SHR,SHR
372,SHOARS,SHRS
373,SHORES,SHRS
374,SHRS,SHRS
375,SKYWAY,SKWY
376,SPG,SPG
377,SPNG,SPG
378,SPRING,SPG
379,SPRNG,SPG
380,SPGS,SPGS
381,SPNGS,SPGS
382,SPRINGS,SPGS
383,SPRNGS,SPGS
384,SPURS,SPUR
385,SQ,SQ
386,SQR,SQ
387,SQRE,SQ
388,SQU,SQ
389,SQUARE,SQ
390,SQRS,SQS
391,SQUARES,SQS
392,STA,STA
393,STATION,STA
394,STATN,STA
395,STN,STA
396,STRA,STRA
397,STRAV,STRA
398,STRAVEN,STRA
399,STRAVENUE,STRA
400,STRAVN,STRA
401,STRVN,STRA
402,STRVNUE,STRA
403,STREAM,STRM
404,STREME,STRM
405,STRM,STRM
406,STREET,ST
407,STRT,ST
408,ST,ST
409,STR,ST
410,STREETS,STS
411,SMT,SMT
412,SUMIT,SMT
413,SUMITT,SMT
414,SUMMIT,SMT
415,TER,TER
416,TERR,TER
417,TERRACE,TER
418,THROUGHWAY,TRWY
419,TRACE,TRCE
420,TRACES,TRCE
421,TRCE,TRCE
422,TRACK,TRAK
423,TRACKS,TRAK
424,TRAK,TRAK
425,TRK,TRAK
426,TRKS,TRAK
427,TRAFFICWAY,TRFY
428,TRAIL,TRL
429,TRAILS,TRL
430,TRL,TRL
431,TRLS,TRL
432,TRAILER,TRLR
433,TRLR,TRLR
434,TRLRS,TRLR
435,TUNEL,TUNL
436,TUNL,TUNL
437,TUNLS,TUNL
438,TUNNEL,TUNL
439,TUNNELS,TUNL
440,TUNNL,TUNL
441,TRNPK,TPKE
442,TURNPIKE,TPKE
443,TURNPK,TPKE
444,UNDERPASS,UPAS
445,UN,UN
446,UNION,UN
447,UNIONS,UNS
448,VALLEY,VLY
449,VALLY,VLY
450,VLLY,VLY
451,VLY,VLY
452,VALLEYS,VLYS
453,VLYS,VLYS
454,VDCT,VIA
455,VIA,VIA
456,VIADCT,VIA
457,VIADUCT,VIA
458,VIEW,VW
459,VW,VW
460,VIEWS,VWS
461,VWS,VWS
462,VILL,VLG
463,VILLAG,VLG
464,VILLAGE,VLG
465,VILLG,VLG
466,VILLIAGE,VLG
467,VLG,VLG
468,VILLAGES,VLGS
469,VLGS,VLGS
470,VILLE,VL
471,VL,VL
472,VIS,VIS
473,VIST,VIS
474,VISTA,VIS
475,VST,VIS
476,VSTA,VIS
477,WALKS,WALK
478,WY,WAY
479,WELL,WL
480,WELLS,WLS
481,WLS,WLS
